0.033264872,24.616005,89.6924,0.807
0.069007693,51.065693,130.4373,1.173
0.099365616,73.530556,155.5637,1.399
0.134915852,99.83773,179.3545,1.613
0.168879421,124.970772,198.3553,1.784
0.202120064,149.568848,214.4646,1.929
0.23587863,174.550186,228.9711,2.059
0.269743718,199.610352,242.0156,2.177
0.303647139,224.698883,253.8738,2.283
0.337119376,249.468338,264.5756,2.38
0.371251947,274.72644,274.6398,2.47
0.404851841,299.590363,283.8627,2.553
0.438699465,324.637604,292.381,2.63
0.472372354,349.555542,300.3937,2.702
0.506367946,374.71228,308.11,2.771
0.540248479,399.783875,315.2167,2.835
0.574560299,425.174622,321.9846,2.896
0.607432267,449.499878,328.2491,2.952
0.641344967,474.595276,334.3426,3.007
0.67511807,499.587372,340.1014,3.059
0.708788898,524.503784,345.5966,3.108
0.742758509,549.641296,350.9684,3.157
0.77641915,574.550171,356.0096,3.202
0.810544401,599.802856,361.0254,3.247
0.845205688,625.452209,365.8999,3.291
0.879105686,650.538208,370.4848,3.332
0.912245055,675.06134,374.9548,3.372
0.94658632,700.473877,379.3501,3.412
